path,found total,min(found in parent),max(found in parent)
/a/rdf:RDF/pgterms:ebook/marcrel:art/pgterms:agent/pgterms:birthdate,1,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:art/pgterms:agent/pgterms:deathdate,1,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:art/pgterms:agent/pgterms:name,2,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:aui,204,0,2
/a/rdf:RDF/pgterms:ebook/marcrel:aui/pgterms:agent,204,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:aui/pgterms:agent/pgterms:alias,188,0,4
/a/rdf:RDF/pgterms:ebook/marcrel:aui/pgterms:agent/pgterms:birthdate,188,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:aui/pgterms:agent/pgterms:deathdate,178,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:aui/pgterms:agent/pgterms:name,204,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:aui/pgterms:agent/pgterms:webpage,103,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:clb,1,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:clb/pgterms:agent,1,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:clb/pgterms:agent/pgterms:birthdate,1,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:clb/pgterms:agent/pgterms:name,1,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:cmm,381,0,4
/a/rdf:RDF/pgterms:ebook/marcrel:cmm/pgterms:agent,381,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:cmm/pgterms:agent/pgterms:alias,296,0,7
/a/rdf:RDF/pgterms:ebook/marcrel:cmm/pgterms:agent/pgterms:birthdate,288,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:cmm/pgterms:agent/pgterms:deathdate,280,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:cmm/pgterms:agent/pgterms:name,381,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:cmm/pgterms:agent/pgterms:webpage,153,0,2
/a/rdf:RDF/pgterms:ebook/marcrel:cmp,59,0,2
/a/rdf:RDF/pgterms:ebook/marcrel:cmp/pgterms:agent,59,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:cmp/pgterms:agent/pgterms:alias,85,0,5
/a/rdf:RDF/pgterms:ebook/marcrel:cmp/pgterms:agent/pgterms:birthdate,52,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:cmp/pgterms:agent/pgterms:deathdate,53,0,1
/a/rdf:RDF/pgterms:ebook/marcrel:cmp/pgterms:agent/pgterms:name,59,1,1
/a/rdf:RDF/pgterms:ebook/marcrel:cmp/pgterms:agent/pgterms:webpage,29,0,2
/a/rdf:RDF/pgterms:ebook/marcrel:cnd,2,0,1
